epoch,train_loss,test_loss,velo_val_loss
0,1.7541366418202717,1.5450905561447144,0.034753065556287766
1,1.4575629830360413,1.5450905561447144,0.034753065556287766
2,1.3595192035039265,1.5450905561447144,0.034753065556287766
3,1.3487812081972759,1.5450905561447144,0.034753065556287766
4,1.3486971656481426,1.5450905561447144,0.034753065556287766
5,1.3431604901949565,1.5450905561447144,0.034753065556287766
6,1.3378498951594036,1.5450905561447144,0.034753065556287766
7,1.3278782566388447,1.5450905561447144,0.034753065556287766
8,1.3255759278933208,1.5450905561447144,0.034753065556287766
9,1.322525401910146,1.5450905561447144,0.034753065556287766
10,1.3190335631370544,1.4133366346359253,0.030235104262828827
11,1.3171071608861287,1.4133366346359253,0.030235104262828827
12,1.3148547609647114,1.4133366346359253,0.030235104262828827
13,1.3131735722223918,1.4133366346359253,0.030235104262828827
14,1.3102232019106548,1.4133366346359253,0.030235104262828827
15,1.3084284663200378,1.4133366346359253,0.030235104262828827
16,1.3072952230771382,1.4133366346359253,0.030235104262828827
17,1.3058743476867676,1.4133366346359253,0.030235104262828827
18,1.3040770888328552,1.4133366346359253,0.030235104262828827
19,1.3026912013689678,1.4133366346359253,0.030235104262828827
20,1.3015280763308208,1.4004771709442139,0.029808450490236282
21,1.3001339038213093,1.4004771709442139,0.029808450490236282
22,1.2988723119099934,1.4004771709442139,0.029808450490236282
23,1.2977270881334941,1.4004771709442139,0.029808450490236282
24,1.2966328660647075,1.4004771709442139,0.029808450490236282
25,1.2955541610717773,1.4004771709442139,0.029808450490236282
26,1.2944878538449605,1.4004771709442139,0.029808450490236282
27,1.293648103872935,1.4004771709442139,0.029808450490236282
28,1.2928987741470337,1.4004771709442139,0.029808450490236282
29,1.292132318019867,1.4004771709442139,0.029808450490236282
30,1.291434685389201,1.3897355794906616,0.029453489929437637
31,1.2905892729759216,1.3897355794906616,0.029453489929437637
32,1.2898443738619487,1.3897355794906616,0.029453489929437637
33,1.289156198501587,1.3897355794906616,0.029453489929437637
34,1.288378397623698,1.3897355794906616,0.029453489929437637
35,1.2875927289326985,1.3897355794906616,0.029453489929437637
36,1.2868685523668926,1.3897355794906616,0.029453489929437637
37,1.286087413628896,1.3897355794906616,0.029453489929437637
38,1.2853620251019795,1.3897355794906616,0.029453489929437637
39,1.2845430970191956,1.3897355794906616,0.029453489929437637
40,1.2837016979853313,1.3795639276504517,0.029114631935954094
41,1.2827793558438618,1.3795639276504517,0.029114631935954094
42,1.281743844350179,1.3795639276504517,0.029114631935954094
43,1.2806651790936787,1.3795639276504517,0.029114631935954094
44,1.2795697450637817,1.3795639276504517,0.029114631935954094
45,1.2783683737119038,1.3795639276504517,0.029114631935954094
46,1.2770165801048279,1.3795639276504517,0.029114631935954094
47,1.275659163792928,1.3795639276504517,0.029114631935954094
48,1.2739953597386677,1.3795639276504517,0.029114631935954094
49,1.27247816324234,1.3795639276504517,0.029114631935954094
50,1.2706677317619324,1.360263705253601,0.028483377769589424
51,1.2691828608512878,1.360263705253601,0.028483377769589424
52,1.267210304737091,1.360263705253601,0.028483377769589424
53,1.2663725018501282,1.360263705253601,0.028483377769589424
54,1.2649911642074585,1.360263705253601,0.028483377769589424
55,1.2662219007809956,1.360263705253601,0.028483377769589424
56,1.2644115090370178,1.360263705253601,0.028483377769589424
57,1.2667627731959026,1.360263705253601,0.028483377769589424
58,1.2600361704826355,1.360263705253601,0.028483377769589424
59,1.2620797157287598,1.360263705253601,0.028483377769589424
60,1.251427670319875,1.3408358097076416,0.027828842401504517
61,1.2566380898157756,1.3408358097076416,0.027828842401504517
62,1.2479049166043599,1.3408358097076416,0.027828842401504517
63,1.2519274950027466,1.3408358097076416,0.027828842401504517
64,1.2442045211791992,1.3408358097076416,0.027828842401504517
65,1.2478697498639424,1.3408358097076416,0.027828842401504517
66,1.241494596004486,1.3408358097076416,0.027828842401504517
67,1.2488875985145569,1.3408358097076416,0.027828842401504517
68,1.2407904267311096,1.3408358097076416,0.027828842401504517
69,1.2516851623853047,1.3408358097076416,0.027828842401504517
70,1.2393572131792705,1.3241311311721802,0.02712414413690567
71,1.245688537756602,1.3241311311721802,0.02712414413690567
72,1.2325031956036885,1.3241311311721802,0.02712414413690567
73,1.2352811296780903,1.3241311311721802,0.02712414413690567
74,1.2269559105237324,1.3241311311721802,0.02712414413690567
75,1.2291048566500347,1.3241311311721802,0.02712414413690567
76,1.2233783602714539,1.3241311311721802,0.02712414413690567
77,1.2239548166592915,1.3241311311721802,0.02712414413690567
78,1.2178594867388408,1.3241311311721802,0.02712414413690567
79,1.2177963256835938,1.3241311311721802,0.02712414413690567
80,1.2123529314994812,1.2851250171661377,0.02592528983950615
81,1.2121991912523906,1.2851250171661377,0.02592528983950615
82,1.2068325479825337,1.2851250171661377,0.02592528983950615
83,1.2072617014249165,1.2851250171661377,0.02592528983950615
84,1.2009519735972087,1.2851250171661377,0.02592528983950615
85,1.2012537320454915,1.2851250171661377,0.02592528983950615
86,1.1949015855789185,1.2851250171661377,0.02592528983950615
87,1.1933787663777669,1.2851250171661377,0.02592528983950615
88,1.1879208882649739,1.2851250171661377,0.02592528983950615
89,1.1833033363024394,1.2851250171661377,0.02592528983950615
90,1.180219868818919,1.243512511253357,0.02459552511572838
91,1.1734010577201843,1.243512511253357,0.02459552511572838
92,1.170030653476715,1.243512511253357,0.02459552511572838
93,1.1655608812967937,1.243512511253357,0.02459552511572838
94,1.159531831741333,1.243512511253357,0.02459552511572838
95,1.1601316332817078,1.243512511253357,0.02459552511572838
96,1.1663121581077576,1.243512511253357,0.02459552511572838
97,1.1636224786440532,1.243512511253357,0.02459552511572838
98,1.189188301563263,1.243512511253357,0.02459552511572838
99,1.1907459298769634,1.243512511253357,0.02459552511572838
100,1.1739128828048706,1.235222339630127,0.02396913431584835
101,1.1760546763737996,1.235222339630127,0.02396913431584835
102,1.169981559117635,1.235222339630127,0.02396913431584835
103,1.160085419813792,1.235222339630127,0.02396913431584835
104,1.1398550868034363,1.235222339630127,0.02396913431584835
105,1.1475476423899333,1.235222339630127,0.02396913431584835
106,1.1285608609517415,1.235222339630127,0.02396913431584835
107,1.1274075706799824,1.235222339630127,0.02396913431584835
108,1.125593403975169,1.235222339630127,0.02396913431584835
109,1.1110742092132568,1.235222339630127,0.02396913431584835
110,1.1014460921287537,1.1625617742538452,0.02200818434357643
111,1.1079941987991333,1.1625617742538452,0.02200818434357643
112,1.0949586033821106,1.1625617742538452,0.02200818434357643
113,1.0880715250968933,1.1625617742538452,0.02200818434357643
114,1.1095593174298604,1.1625617742538452,0.02200818434357643
115,1.1078718900680542,1.1625617742538452,0.02200818434357643
116,1.1153234839439392,1.1625617742538452,0.02200818434357643
117,1.1012275020281475,1.1625617742538452,0.02200818434357643
118,1.1181569695472717,1.1625617742538452,0.02200818434357643
119,1.1073634425799053,1.1625617742538452,0.02200818434357643
120,1.1023280223210652,1.1234662532806396,0.020818090066313744
121,1.070853352546692,1.1234662532806396,0.020818090066313744
